Instance, D-Wave p(s), Classical SA p(s)
Benchmarking--108q--15us--02-Aug-2012-17-39-00.txt, 0.576355, 0.64
Benchmarking--108q--15us--02-Aug-2012-17-39-09.txt, 0.773719, 0.78
Benchmarking--108q--15us--02-Aug-2012-17-39-18.txt, 0.811155, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-39-27.txt, 0.912883, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-39-35.txt, 0.440083, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-39-44.txt, 0.927952, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-39-52.txt, 0.913242, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-40-01.txt, 0.231628, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-40-10.txt, 0.000804, 0.45
Benchmarking--108q--15us--02-Aug-2012-17-40-18.txt, 0.989241, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-40-27.txt, 0.974071, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-40-36.txt, 0.615233, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-40-44.txt, 0.756695, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-40-53.txt, 0.814592, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-41-02.txt, 0.295156, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-41-10.txt, 0.695953, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-41-19.txt, 0.884012, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-41-28.txt, 0.015363, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-41-36.txt, 0.776838, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-41-45.txt, 0.885586, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-41-54.txt, 0.943424, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-42-02.txt, 0.917841, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-42-11.txt, 0.123094, 0.73
Benchmarking--108q--15us--02-Aug-2012-17-42-20.txt, 0.715992, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-42-28.txt, 0.859530, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-42-37.txt, 0.911189, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-42-46.txt, 0.854391, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-42-54.txt, 0.001304, 0.71
Benchmarking--108q--15us--02-Aug-2012-17-43-03.txt, 0.765434, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-43-12.txt, 0.007471, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-43-20.txt, 0.010893, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-43-29.txt, 0.831759, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-43-38.txt, 0.979543, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-43-47.txt, 0.870934, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-43-55.txt, 0.179498, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-44-04.txt, 0.878283, 0.94
